holder,start,end,count,gas_waste_eth
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2021-11-12 03:56:58+00:00,2021-11-12 04:21:03+00:00,3,0.05526454535312986
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2021-12-21 23:30:31+00:00,2021-12-21 23:32:04+00:00,3,0.05046186588248458
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2021-12-28 02:02:30+00:00,2021-12-28 03:04:18+00:00,3,0.05937705167066014
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2022-03-14 20:46:01+00:00,2022-03-14 20:46:57+00:00,3,0.09686463081904761
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2022-03-25 02:54:35+00:00,2022-03-25 03:48:01+00:00,5,0.058383140777078874
0xbf9796c7bda596420896cf9bb61ef36fa56f92d8,2023-01-04 16:59:47+00:00,2023-01-04 17:01:35+00:00,3,0.0232449258346554
0x26011974d9919ba43c83b5c89a5d8f99ee7387f2,2021-09-02 17:20:34+00:00,2021-09-02 17:37:20+00:00,6,0.10775617669437002
0x37a5ea319cf110278960eaa73995bd0cd63f0039,2021-05-08 07:08:55+00:00,2021-05-08 08:03:17+00:00,3,0.008080750634571005
0x64622e1058d418b44fee143ca2d4661bc830bf07,2021-11-13 02:56:53+00:00,2021-11-13 03:01:48+00:00,4,0.021296862896663056
0x64622e1058d418b44fee143ca2d4661bc830bf07,2023-06-15 23:10:23+00:00,2023-06-16 00:51:11+00:00,5,0.011178660775739918
0x1111903697fafd2585f21c2e6618cd598d5737a4,2021-11-03 04:03:03+00:00,2021-11-03 04:17:29+00:00,5,0.06392743993492042
0x1111903697fafd2585f21c2e6618cd598d5737a4,2021-11-10 23:23:42+00:00,2021-11-11 00:16:19+00:00,3,0.2022622421613318
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2021-11-12 19:43:11+00:00,2021-11-12 19:58:55+00:00,3,0.052614505656052205
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2021-12-21 01:31:35+00:00,2021-12-21 01:37:40+00:00,6,0.1118488375767118
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-02-11 21:44:57+00:00,2022-02-11 21:54:31+00:00,4,0.06626267346542208
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-03-08 15:21:21+00:00,2022-03-08 16:25:18+00:00,3,0.022403305994255315
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-03-09 21:14:02+00:00,2022-03-09 21:18:41+00:00,4,0.031077580803340124
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-04 21:19:19+00:00,2022-07-04 23:05:47+00:00,3,0.013521523257822382
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-05 11:57:34+00:00,2022-07-05 12:15:33+00:00,5,0.01986694865067076
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-05 13:58:18+00:00,2022-07-05 15:47:49+00:00,4,0.023613259184157315
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-05 18:59:12+00:00,2022-07-05 19:22:24+00:00,4,0.030220895204860175
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-07 12:12:50+00:00,2022-07-07 13:58:55+00:00,4,0.02423709204532764
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-09 00:56:52+00:00,2022-07-09 01:00:18+00:00,3,0.0074416886780564965
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-07-16 21:41:22+00:00,2022-07-16 23:21:46+00:00,4,0.01595357265120853
0x7fb615fc9d0db8faaa8916883f6dfe089bbf72ab,2022-08-23 19:49:48+00:00,2022-08-23 19:56:58+00:00,3,0.00817330275365152
0xa5fa1a4faf0914cac20ae80e7700ac220cb139eb,2021-11-12 03:52:57+00:00,2021-11-12 04:08:15+00:00,7,0.03149383195819915
0xa5fa1a4faf0914cac20ae80e7700ac220cb139eb,2022-02-15 01:04:39+00:00,2022-02-15 01:13:43+00:00,3,0.05509737904407734
0xa5fa1a4faf0914cac20ae80e7700ac220cb139eb,2022-03-14 22:36:15+00:00,2022-03-14 23:57:26+00:00,4,0.021925237824251723
0xa5fa1a4faf0914cac20ae80e7700ac220cb139eb,2022-04-24 21:27:33+00:00,2022-04-24 21:29:36+00:00,4,0.039214660144120415
0xa5fa1a4faf0914cac20ae80e7700ac220cb139eb,2022-05-25 00:39:28+00:00,2022-05-25 00:41:08+00:00,3,0.014658774929924604
0x86cfe5b9d71a61eb489fb323d8b839d89983fb37,2021-11-09 05:21:02+00:00,2021-11-09 05:47:56+00:00,4,0.1219799461608484
0x86cfe5b9d71a61eb489fb323d8b839d89983fb37,2021-11-11 06:52:07+00:00,2021-11-11 08:27:54+00:00,4,0.22254931141336654
0x86cfe5b9d71a61eb489fb323d8b839d89983fb37,2021-11-11 09:13:15+00:00,2021-11-11 09:31:23+00:00,3,0.11582091971153852
0x86cfe5b9d71a61eb489fb323d8b839d89983fb37,2021-11-12 02:01:43+00:00,2021-11-12 02:57:30+00:00,4,0.20467376550490338
0x86cfe5b9d71a61eb489fb323d8b839d89983fb37,2021-12-11 15:09:59+00:00,2021-12-11 16:55:33+00:00,5,0.08636083936487668
0x2e4ac9317e6f3185b2b123e5aac14340ca033bee,2022-04-10 01:12:45+00:00,2022-04-10 02:41:00+00:00,3,0.03217062291738688
0x1ba6b82641c77ab1fc7bc734c5c3628199a8967d,2020-10-26 00:12:41+00:00,2020-10-26 00:51:17+00:00,15,0.012714781000000001
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-10 15:11:20+00:00,2021-11-10 17:10:12+00:00,68,5.015968822640922
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-10 17:18:08+00:00,2021-11-10 19:16:18+00:00,58,2.2730549624041716
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-10 19:19:57+00:00,2021-11-10 21:14:30+00:00,61,2.6242972923720433
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-10 21:26:59+00:00,2021-11-10 23:26:22+00:00,65,3.1754658902036126
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-10 23:29:05+00:00,2021-11-11 01:28:11+00:00,101,3.628847082154212
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 01:29:34+00:00,2021-11-11 03:29:03+00:00,75,2.0885365902382116
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 03:33:41+00:00,2021-11-11 05:26:20+00:00,52,1.663705986258052
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 05:33:56+00:00,2021-11-11 07:33:46+00:00,84,2.857242823209761
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 07:36:50+00:00,2021-11-11 09:35:32+00:00,98,2.691884152530663
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 09:48:39+00:00,2021-11-11 11:47:04+00:00,74,1.8988843164343105
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 11:49:32+00:00,2021-11-11 13:47:56+00:00,66,1.8827035077759664
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 13:52:45+00:00,2021-11-11 15:52:26+00:00,49,1.5042808870956843
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 15:54:45+00:00,2021-11-11 17:53:59+00:00,71,2.8330356767547062
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 17:57:11+00:00,2021-11-11 19:56:54+00:00,71,3.481169009250531
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 19:58:02+00:00,2021-11-11 21:52:31+00:00,53,2.0218313257854694
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-11 21:59:09+00:00,2021-11-11 23:58:37+00:00,48,1.7097840151091601
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 00:04:14+00:00,2021-11-12 01:53:52+00:00,34,1.0003081269394098
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 02:06:32+00:00,2021-11-12 04:05:53+00:00,60,1.6746261722643414
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 04:06:44+00:00,2021-11-12 06:05:28+00:00,62,2.5246859122488097
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 06:08:00+00:00,2021-11-12 08:07:33+00:00,39,1.3173375456520733
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 08:08:39+00:00,2021-11-12 10:07:30+00:00,59,1.997022677944312
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 10:10:16+00:00,2021-11-12 12:09:02+00:00,73,2.215154930633086
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 12:10:46+00:00,2021-11-12 14:08:23+00:00,65,1.793923344963345
0x1111111254fb6c44bac0bed2854e76f90643097d,2021-11-12 14:19:51+00:00,2021-11-12 16:01:24+00:00,56,2.5238270331833625
0x24d0db7e182fcd29ddea14c04bcb182c89cbb0c0,2020-10-29 11:02:38+00:00,2020-10-29 11:17:12+00:00,3,0.0684752
0x24d0db7e182fcd29ddea14c04bcb182c89cbb0c0,2020-12-17 17:42:41+00:00,2020-12-17 17:52:15+00:00,3,0.025647700000000002
0x24d0db7e182fcd29ddea14c04bcb182c89cbb0c0,2020-12-19 06:27:44+00:00,2020-12-19 08:08:34+00:00,3,0.025498484999999998
0x58077bc939e7d5464f022a483b53ffe3a0bedcb1,2021-09-03 14:38:33+00:00,2021-09-03 15:31:18+00:00,4,0.102214775392242
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2020-08-12 20:18:57+00:00,2020-08-12 20:32:26+00:00,4,0.065936423
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2020-08-20 00:58:43+00:00,2020-08-20 01:13:37+00:00,3,0.036429505
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2020-10-02 03:19:50+00:00,2020-10-02 03:26:17+00:00,3,0.00582802
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2020-12-03 18:42:50+00:00,2020-12-03 19:20:45+00:00,6,0.024575975
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2021-02-17 17:12:20+00:00,2021-02-17 17:18:20+00:00,4,0.0650558092
0xbd7ea7c975cc23049ac31968c764af012ce45f58,2021-03-31 14:00:36+00:00,2021-03-31 14:10:04+00:00,5,0.03710195808477957
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-08-29 19:10:02+00:00,2020-08-29 20:31:26+00:00,3,0.009820947
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-08-30 22:36:55+00:00,2020-08-30 23:42:16+00:00,3,0.010711274
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-08-31 11:08:09+00:00,2020-08-31 11:08:14+00:00,3,0.00843228
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-08-31 16:34:16+00:00,2020-08-31 17:12:58+00:00,4,0.03471224275851677
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-09-01 11:47:32+00:00,2020-09-01 11:50:25+00:00,3,0.045650350000000006
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-09-03 11:44:56+00:00,2020-09-03 12:18:57+00:00,3,0.035114903999999995
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-10-27 12:21:03+00:00,2020-10-27 12:24:18+00:00,3,0.0032786250000000003
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2020-11-02 18:08:59+00:00,2020-11-02 18:08:59+00:00,3,0.003955402
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2021-09-18 14:06:09+00:00,2021-09-18 14:07:46+00:00,3,0.010340353461674879
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2021-11-05 15:04:57+00:00,2021-11-05 15:09:15+00:00,3,0.02098055484531503
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2021-11-09 01:05:32+00:00,2021-11-09 02:34:14+00:00,5,0.28875967649581274
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2021-11-13 03:10:53+00:00,2021-11-13 03:13:08+00:00,3,0.01629901095808123
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2021-11-23 21:25:05+00:00,2021-11-23 21:45:09+00:00,6,0.05538320675134125
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2022-03-28 15:56:46+00:00,2022-03-28 17:20:22+00:00,5,0.13990676328151197
0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,2022-04-17 08:41:09+00:00,2022-04-17 10:32:52+00:00,4,0.011555365600992379
0x8c17d8cb570389dc03a58775084a148ce85f15c9,2020-10-06 09:22:00+00:00,2020-10-06 09:32:09+00:00,4,0.00793640169269517
0x8c17d8cb570389dc03a58775084a148ce85f15c9,2021-01-03 02:36:49+00:00,2021-01-03 02:38:35+00:00,3,0.032901937
0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,2020-07-13 14:40:48+00:00,2020-07-13 14:46:04+00:00,3,0.0329561768901903
0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,2020-07-30 02:31:56+00:00,2020-07-30 02:35:06+00:00,3,0.003988618042477326
0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,2020-08-03 13:23:27+00:00,2020-08-03 13:30:01+00:00,8,0.030596900000028866
